ID,sex,age,max_rating,current_rating,hours_in_game,games_week,pas01,pas02,pas03,pas04,pas05,pas06,pas07,pas08,pas09,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13,heroes_3,age_group,pas_total
2,М,21,980,960,2808,6-10 игр (пару дней в неделю стабильно-дота),1,2,1,4,2,3,1,1,1,4,3,3,2,1,2,2,2,3,5,1,3,5,"Луна,104 игры,63%.Пудж,101игра,51%.ВК,75 игр,69%",21-29 лет,16
4,М,19,2370,2130,4500,20-30 игр (каждый день по несколько игр),3,4,5,4,1,5,1,5,3,5,5,1,1,5,5,5,2,5,3,3,5,5,"течис 116 игр, 51.72% эмбер 135 игр 50.37% вайпер 99 игр 55.56%",18-20 лет,31
5,М,15,2700,2400,700,20-30 игр (каждый день по несколько игр),1,3,3,3,2,1,1,1,2,3,3,1,4,5,5,2,2,5,5,2,2,3,"Арк,29 игр,75%;Сало,60 игр,63%",17 лет или младше,17
6,М,17,4360,4320,2600,20-30 игр (каждый день по несколько игр),4,4,5,5,3,3,5,5,5,5,1,2,1,5,5,2,3,4,3,2,4,1,"Хускар(300 игр винрейт 60 процентов), Акс(214 игр 59 процентов винрейта), леигонка(100 игр 54 процента винрейта)",17 лет или младше,39
7,М,22,3000,2100,3700,6-10 игр (пару дней в неделю стабильно-дота),1,2,3,4,2,4,1,4,4,4,2,2,1,4,4,3,2,5,4,4,3,2,"Фантомка 99 57%
ам 97 45%
Снайпер 95 48%",21-29 лет,25
9,М,15,1130,1070,900,Больше 30 игр (по много пабликов каждый день),1,3,2,5,1,1,1,4,1,5,1,1,2,5,4,5,3,5,5,1,5,3,"Тинкер,153 игры,64.7%|Тини,94 игры,59,6%|Лансер,67 игры,67,2%|",17 лет или младше,19
10,М,21,3500,2900,5000,6-10 игр (пару дней в неделю стабильно-дота),2,3,3,2,1,4,1,2,1,3,4,1,1,1,1,4,3,2,3,4,3,5,"Клинкз 182 60.44%
Тини 180 52.78%
Скай 179 59.78%",21-29 лет,19
11,М,27,2700,2500,6000,6-10 игр (пару дней в неделю стабильно-дота),4,3,4,3,3,4,5,5,2,4,4,3,1,2,2,5,4,5,5,5,5,5,"Джакиро, 147 игр, 57%
Мирана, 130 игр, 62%
Вр 126 игр, 53%",21-29 лет,33
12,М,17,1250,1030,1500,20-30 игр (каждый день по несколько игр),4,4,2,5,1,5,1,5,2,5,1,5,5,5,5,2,2,1,1,1,2,1,wraith(рейс) кинг(korol') 500 игр 60% фейслес войд 40 игр 70% дисраптор 130 игр 70% сережа ти самий лучший <3 <3 <3,17 лет или младше,29
13,М,16,0,0,8,1-5 игр (по выходным чисто пару каток),1,1,1,3,4,1,1,5,1,2,4,1,1,1,3,2,2,5,3,1,4,5,-,17 лет или младше,18
14,М,17,590,550,1000,6-10 игр (пару дней в неделю стабильно-дота),1,2,4,4,3,3,2,4,2,5,1,2,1,5,3,1,5,4,2,4,5,5,"Faceless void, 140 игр, 70%. Arc Varden 60 игр,69%.Terrorblade 70 игр, 59%.",17 лет или младше,25
18,М,21,3700,2800,2500,6-10 игр (пару дней в неделю стабильно-дота),2,2,1,3,1,2,3,1,1,3,3,1,1,2,4,2,2,3,3,3,2,3,"Puck, 137, 51,82%
Dazzle, 98, 62.24%
Queen of Pain, 73, 47.95%",21-29 лет,16
19,М,16,3000,2220,4019,11-20 игр (почти каждый день по несколько игр),3,2,2,3,1,1,1,5,1,5,3,1,1,4,5,1,3,5,5,4,4,5,"СФ 210 53%, Магнус 182 47%, МК 110 50%",17 лет или младше,19
21,М,15,1000,530,960,1-5 игр (по выходным чисто пару каток),1,2,1,3,1,2,2,2,1,5,3,2,2,4,5,3,2,4,3,4,5,2,"Гримстрок, 170 игр, 60%
Войд спирит 165 игр, 51%
Антимаг 100 игр, 54%",17 лет или младше,15
22,М,19,1300,1230,2000,11-20 игр (почти каждый день по несколько игр),2,1,1,3,2,2,1,4,3,3,4,2,1,1,3,2,3,4,3,3,4,5,"Джагер, 70 игр, 66%; брист, 130 игр, 71%; фантомка, 34 игры, 60%",18-20 лет,19
23,М,23,2400,1950,6000,20-30 игр (каждый день по несколько игр),2,4,3,5,1,5,1,3,4,5,1,3,2,5,5,2,1,3,4,1,1,1,"Riki, 397 игр, 60.5%
Skywrath Mage, 162 игры, 50%
Juggernaut, 157 игр, 52.8%",21-29 лет,28
24,М,15,500,470,599,1-5 игр (по выходным чисто пару каток),1,1,1,4,1,5,3,5,1,4,5,5,4,1,2,4,1,2,3,5,4,5,Некрофос 52 игры 52%,17 лет или младше,22
25,М,19,4800,3990,3300,6-10 игр (пару дней в неделю стабильно-дота),1,2,2,5,1,1,2,4,2,5,1,2,2,3,5,3,2,4,3,2,1,2,"Сларк, 177 игр, 54,8%; врка, 132 игры, 55,3%; джагер, 103 игры, 55,3%",18-20 лет,20
27,М,19,3900,1200,10000,Больше 30 игр (по много пабликов каждый день),5,2,5,5,3,4,3,5,1,4,1,3,4,4,4,1,3,1,5,3,4,4,"Sf, 500 матчей, 68%; Рики, 70 матчей, 64%; Ланая,89 матчей 53%",18-20 лет,33
29,М,20,2530,2530,700,Больше 30 игр (по много пабликов каждый день),1,1,5,4,1,5,5,1,5,5,1,1,1,5,5,3,1,5,3,1,2,2,"НС 300 ДК 200 Вайпер 60 (я просто недавно бросил игру и отвечал от имени себя 2месяца назад, по этому там есть некоторые разбежности)",18-20 лет,28
